"","year","game.id","date","team","playerid","name","pass.att","pass.comp","passyds","pass.tds","pass.ints","pass.twopta","pass.twoptm","rush.att","rushyds","rushtds","rushlng","rushlngtd","rush.twopta","rush.twoptm","recept","recyds","rec.tds","reclng","reclngtd","rec.twopta","rec.twoptm","kick.rets","kickret.avg","kickret.tds","kick.ret.lng","kickret.lngtd","punt.rets","puntret.avg","puntret.tds","puntret.lng","puntret.lngtd","fgm","fga","fgyds","totpts.fg","xpmade","xpmissed","xpa","xpb","xppts.tot","tackles","asst.tackles","sacks","defints","forced.fumbs","totalfumbs","recfumbs","totalrecfumbs","fumbyds","fumbslost"
"1",2015,"2015091400",2015-09-14,"PHI","00-0030990","J.Huff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2",2015,"2015091400",2015-09-14,"PHI","00-0023564","D.Sproles",0,0,0,0,0,0,0,5,50,0,27,0,0,0,7,76,0,24,0,0,0,0,0,0,0,0,3,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2015,"2015091400",2015-09-14,"PHI","00-0027854","S.Bradford",52,36,336,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2015,"2015091400",2015-09-14,"PHI","00-0028009","D.Murray",0,0,0,0,0,0,0,8,9,1,8,8,0,0,4,11,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2015,"2015091400",2015-09-14,"PHI","00-0027864","R.Mathews",0,0,0,0,0,0,0,3,4,1,3,1,0,0,3,24,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2015,"2015091400",2015-09-14,"PHI","00-0030061","Z.Ertz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2015,"2015091400",2015-09-14,"PHI","00-0027758","R.Cooper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2015,"2015091400",2015-09-14,"PHI","00-0031299","J.Matthews",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,102,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2015,"2015091400",2015-09-14,"PHI","00-0031549","N.Agholor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2015,"2015091400",2015-09-14,"PHI","00-0023921","M.Austin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2015,"2015091400",2015-09-14,"PHI","00-0025549","B.Celek",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
