"","X","year","team","playerid","name","pass.att","pass.comp","passyds","pass.tds","pass.ints","pass.twopta","pass.twoptm","rush.att","rushyds","rushtds","rush.twopta","rush.twoptm","recept","recyds","rec.tds","rec.twopta","rec.twoptm","kick.rets","kickret.avg","kickret.tds","punt.rets","puntret.avg","puntret.tds","fgm","fga","fgyds","totpts.fg","xpmade","xpmissed","xpa","xpb","xppts.tot","tackles","asst.tackles","sacks","defints","forced.fumbs","totalfumbs","recfumbs","totalrecfumbs","fumbyds","fumbslost","rushlng","rushlngtd","reclng","reclngtd","puntret.lng","puntret.lngtd","kick.ret.lng","kickret.lngtd","team2"
"1",1167,2015,"PHI","00-0023564","D.Sproles",0,0,0,0,0,0,0,83,317,3,0,0,55,388,1,0,0,1,20,0,38,152,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,27,6,35,35,89,89,20,0,"PHL"
"2",1168,2015,"PHI","00-0023921","M.Austin",0,0,0,0,0,0,0,0,0,0,0,0,13,224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,"PHL"
"3",1169,2015,"PHI","00-0024248","D.Ryans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,17,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"PHL"
"4",1170,2015,"PHI","00-0025549","B.Celek",0,0,0,0,0,0,0,0,0,0,0,0,27,398,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,60,13,0,0,0,0,"PHL"
"5",1171,2015,"PHI","00-0026898","M.Sanchez",91,59,616,4,4,0,0,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,0,0,0,0,0,0,0,"PHL"
"6",1172,2015,"PHI","00-0026945","E.Biggers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PHL"
"7",1173,2015,"PHI","00-0026990","M.Jenkins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,18,0,2,3,0,0,1,34,0,0,0,0,0,0,0,0,0,"PHL"
"8",1174,2015,"PHI","00-0027022","C.Barwin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,10,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"PHL"
"9",1175,2015,"PHI","00-0027378","C.Maragos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PHL"
"10",1176,2015,"PHI","00-0027581","S.Ajirotutu",0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,"PHL"
"11",1177,2015,"PHI","00-0027711","W.Thurmond",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,19,2,3,2,0,0,1,83,0,0,0,0,0,0,0,0,0,"PHL"
"12",1178,2015,"PHI","00-0027744","N.Carroll",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PHL"
"13",1179,2015,"PHI","00-0027758","R.Cooper",0,0,0,0,0,0,0,0,0,0,0,0,21,327,2,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,0,0,16,0,"PHL"
"14",1180,2015,"PHI","00-0027854","S.Bradford",532,346,3725,19,14,0,0,25,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,-32,3,14,0,0,0,0,0,0,0,"PHL"
"15",1181,2015,"PHI","00-0027864","R.Mathews",0,0,0,0,0,0,0,108,539,6,0,0,20,146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-3,3,63,63,23,23,0,0,0,0,"PHL"
"16",1182,2015,"PHI","00-0027865","B.Graham",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,14,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"PHL"
