last.name,first.name,name2,pos,status,exp,college
Agholor, Nelson,A. Nelson,WR,ACT,2,USC
Allen, Beau,A. Beau,NT,ACT,3,Wisconsin
Andrews, Josh,A. Josh,G,ACT,2,Oregon State
Barbre, Allen,B. Allen,OG,ACT,9,Missouri Southern State
Barner, Kenjon,B. Kenjon,RB,ACT,3,Oregon
Barwin, Connor,B. Connor,OLB,ACT,8,Cincinnati
Bradford, Sam,B. Sam,QB,ACT,7,Oklahoma
Bradham, Nigel,B. Nigel,LB,ACT,5,Florida State
Braman, Bryan,B. Bryan,LB,ACT,6,West Texas A&M
Brooks, Brandon,B. Brandon,G,ACT,5,Miami (Ohio)
Brooks, Ron,B. Ron,DB,ACT,5,LSU
Bunche, Malcolm,B. Malcolm,G,ACT,1,UCLA
Burton, Trey,B. Trey,TE,ACT,3,Florida
Carroll, Nolan,C. Nolan,CB,ACT,7,Maryland
Celek, Brent,C. Brent,TE,ACT,10,Cincinnati
Countess, Blake,C. Blake,CB,ACT,0,Auburn
Cox, Fletcher,C. Fletcher,DE,ACT,5,Mississippi State
Curry, Vinny,C. Vinny,DE,ACT,5,Marshall
Daniel, Chase,D. Chase,QB,ACT,8,Missouri
DePalma, John,D. John,LS,ACT,0,West Virginia
Dorenbos, Jon,D. Jon,LS,ACT,14,Texas-El Paso
Ertz, Zach,E. Zach,TE,ACT,4,Stanford
Evans, Randall,E. Randall,CB,ACT,1,Kansas State
Gardner, Andrew,G. Andrew,G,ACT,7,Georgia Tech
Gause, Quentin,G. Quentin,LB,ACT,0,Rutgers
Givens, Chris,G. Chris,WR,ACT,5,Wake Forest
Gordon, Dillon,G. Dillon,TE,ACT,0,LSU
Graham, T.J.,G. T.J.,WR,ACT,5,North Carolina State
Graham, Brandon,G. Brandon,OLB,ACT,7,Michigan
Greene, Darrell,G. Darrell,OG,ACT,0,San Diego State
Grymes, Aaron,G. Aaron,DB,ACT,0,Idaho
Hart, Taylor,H. Taylor,DE,ACT,3,Oregon
Hicks, Jordan,H. Jordan,ILB,ACT,2,Texas
Huff, Josh,H. Josh,WR,ACT,3,Oregon
Jenkins, Malcolm,J. Malcolm,FS,ACT,8,Ohio State
Johnson, Bruce,J. Bruce,C,ACT,0,Maine
Johnson, Marcus,J. Marcus,WR,ACT,0,Texas
Johnson, Lane,J. Lane,T,ACT,4,Oklahoma
Jones, Cayleb,J. Cayleb,WR,ACT,0,Arizona
Jones, Barrett,J. Barrett,G,ACT,3,Alabama
Jones, Donnie,J. Donnie,P,ACT,13,LSU
Kelce, Jason,K. Jason,C,ACT,6,Cincinnati
Kelly, Dennis,K. Dennis,OT,ACT,5,Purdue
Kendricks, Mychal,K. Mychal,ILB,ACT,5,California
Krause, Jonathan,K. Jonathan,WR,ACT,2,Vanderbilt
Logan, Bennie,L. Bennie,NT,ACT,4,LSU
Long, Travis,L. Travis,OLB,ACT,3,Washington State
Lott, Derrick,L. Derrick,DT,ACT,1,Tennessee-Chattanooga
Maragos, Chris,M. Chris,FS,ACT,7,Wisconsin
Marshall, Byron,M. Byron,WR,ACT,0,Oregon
Martin, Mike,M. Mike,DT,ACT,5,Michigan
Mathews, Ryan,M. Ryan,RB,ACT,7,Fresno State
Matthews, Jordan,M. Jordan,WR,ACT,3,Vanderbilt
McCalister, Alex,M. Alex,DE,ACT,0,Florida
McFarland, M.J.,M. M.J.,TE,ACT,0,Texas-El Paso
McKelvin, Leodis,M. Leodis,DB,ACT,9,Troy
McLeod, Rodney,M. Rodney,DB,ACT,5,Virginia
Means, Steven,M. Steven,DE,ACT,2,Buffalo
Mills, Jalen,M. Jalen,FS,ACT,0,LSU
O'Neal, Cedric,O. Cedric,RB,ACT,0,Valdosta State
Pantale, Chris,P. Chris,TE,ACT,1,Boston College
Parkey, Cody,P. Cody,K,ACT,3,Auburn
Peters, Jason,P. Jason,T,ACT,13,Arkansas
Powell, Ty,P. Ty,LB,ACT,4,Harding
Randle, Rueben,R. Rueben,WR,ACT,5,LSU
Reynolds, Ed,R. Ed,DB,ACT,2,Stanford
Rice, Denzel,R. Denzel,DB,ACT,2,Coastal Carolina
Rowe, Eric,R. Eric,CB,ACT,2,Utah
Rush, Xavier,R. Xavier,WR,ACT,0,Tulane
Seumalo, Isaac,S. Isaac,OG,ACT,0,Oregon State
Sharp, Hunter,S. Hunter,WR,ACT,0,Utah State
Shepherd, JaCorey,S. JaCorey,CB,ACT,2,Kansas
Shittu, Aziz,S. Aziz,DE,ACT,0,Stanford
Skinner, Deontae,S. Deontae,LB,ACT,2,Mississippi State
Smallwood, Wendell,S. Wendell,RB,ACT,0,West Virginia
Smith, C.J.,S. C.J.,CB,ACT,0,North Dakota State
Smith, Marcus,S. Marcus,LB,ACT,3,Louisville
Sproles, Darren,S. Darren,RB,ACT,12,Kansas State
Sturgis, Caleb,S. Caleb,K,ACT,4,Florida
Tavarres, Myke,T. Myke,LB,ACT,0,Incarnate Word (Tex.)
Tobin, Matt,T. Matt,G,ACT,4,Iowa
Turner, Paul,T. Paul,WR,ACT,0,Louisiana Tech
Vaeao, Destiny,V. Destiny,DT,ACT,0,Washington State
Vaitai, Halapoulivaati,V. Halapoulivaati,OT,ACT,0,Texas Christian
Walker, Joe,W. Joe,ILB,ACT,0,Oregon
Watkins, Jaylen,W. Jaylen,DB,ACT,2,Florida
Wentz, Carson,W. Carson,QB,ACT,0,North Dakota State
Wisniewski, Stefen,W. Stefen,C,ACT,6,Penn State
Wujciak, Connor,W. Connor,DT,ACT,0,Boston College
